title,userName,review,rating,date,developerResponse,isEdited,app_name,app_id
Mediocre app and they keep stealing my money,LmMc1008,"I bought a one week trial period and after one day realized it was not something I wanted or needed. It’s a mediocre app and I didn’t want to continue with the membership after the trial period. No big deal... I wasted $5 but that’s the chance you take in a trial period. I stopped using the app after the one time I checked it out and emailed to cancel that same day and was told I didn’t need to cancel anything because it was just a trial period. The next week I was charged again so I sent another email with no response. The next week I was charged again so I sent yet another email and received no response. The next week I was charged AGAIN so I finally opened another line of communication and got a response that the membership had been canceled and that someone would reach out about my refund. It took a long time for that email to come but when it finally did they gave me the option to have 6 months of a free membership (a membership I don’t want or need) OR I could choose to get half of the money back, that they weren’t supposed to charge me. I am not asking for my trial period money back. Just all of the money they charged after I canceled multiple times. This is crappy customer service. There are plenty of other meditation apps that are better and have more to offer that are free or significantly cheaper and won’t rip you off!",1,2021-02-28 00:12:17,"{'id': 21812438, 'body': ""Hello! Our team is always at your service. We haven't found your request via email and unfortunately, we have never heard from you back. It would be great if you could send us a message for a solution to your problem. Please provide us with the 6-7-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, team BetterMe Meditation  "", 'modified': '2021-03-23T08:08:06Z'}",False,betterme-calm-sleep-meditate,1363010081
Feel ripped off,Jray-420,Idk what I just spent $20 on to then ask me to pay even more for what I thought was apart of that “limited on time offer” and the 1st article I read which was about rage and anger already stopped reading after number one because it says to tell him “ you know I don’t like it when you do this” and you statements. As someone who has been in an a hold of therapy since I was young due to depression I know that you’re not supposed to make statements like that especially when you’re talking about an angry situation you’re supposed to make ice statements it makes me feel this way because then you’re just making that person think that you’re attacking them. I will be turning off the subscription I kind of want my money back already. I did really like the sound feature though how you could turn up the fireplace or like the other noises I did really like that. That was neat.,2,2021-05-11 21:14:00,"{'id': 23341505, 'body': 'Hello! Thank you for your review. We are really sorry for the negative experience with our app. Can you please provide us more details on this to gethelp@betterme.tips, we will take a look into this issue? Kind Regards, Team BetterMe Meditation', 'modified': '2021-06-12T08:52:02Z'}",False,betterme-calm-sleep-meditate,1363010081
Purchased from Ad,tiggert23,"So I had been wanting an app related specifically for realigning chakras and I believe I saw an ad for this one. So after purchasing two separate things which total to almost about $15 I finally tried it and unfortunately I was not impressed. There’s a couple of 7 day courses you can take voiced by a woman or robot, I can’t tell, but her pace is so unnatural and monotonic that it’s hard to differentiate between her and Siri. It actually is so distracting, you lose focus on being in the present and I found myself wondering when it was going to be over. And at the end it just abruptly cuts off after stating to continue to meditate. Totally the opposite of relaxing.I’m not sure how to discontinue this subscription since it’s not through the App Store but I will not be renewing.",3,2021-01-04 10:16:37,"{'id': 20195680, 'body': 'Hello! No worries! We are one click away. Simply text us at gethelp@betterme.tips and we will gladly review your case. Kind regards, Team BetterMe Meditation', 'modified': '2021-01-05T15:19:24Z'}",False,betterme-calm-sleep-meditate,1363010081
Was I expecting too much?,LaowaiGram,"The app was directed to me through Instagram. Finally caved in and clicked the link to see what’s it all about. 

Realized I had to have a subscription to even view most content. Closed out the app without any purchase. Later received a discount for $20/year plan and decided to go for it...

Took roughly 48 hours for me to get login information from the support team. Stressful and disappointing. Albeit there was a delay, however we got to a solution. Finally, day three after purchase I could to use the app. 

The GUI is ergonomic enough, but there is little guidance offered. No description or tutorials, where to begin directions, you’re just kinda dropped in this meditation box.

The features aren't plentiful, but there is enough to get you going on a meditative road to less anxiety. The hardest aspect to overcome is the narrated guided meditation practice that is voiced by a robotic, mono-tonal computer. Being told to do such and such, think such and such, by an unempathetic robot voice is tacky feeling.

3/5 stars. Would use at $20 yearly subscription for one year, unlikely to resubscribe. Would not suggest this app to my IRL associates.",3,2021-05-12 12:08:29,"{'id': 23365664, 'body': 'Hello! We still cannot find your request. Have you lately sent it to gethelp@betterme.tips? We are here to always help you. Best Regards, Team BetterMe', 'modified': '2021-06-14T08:33:05Z'}",False,betterme-calm-sleep-meditate,1363010081
Exercised Meditation,vitugmaya,"Yo this app is life-saving. On this app mediations dont tell you to think of positive thoughts, or to “just let go of your day”. They give you exercises that help you take a look at your thoughts & I have seen the growth in me. This app compared to the Calm app is incomparable because they actually help you with your anxiety depression and happiness. The world is at its most crazy time right now and this app can save lots of lives. I accidentally bought it because I thought it had a weeklong free subscription… But it did it and it was definitely worth the $70 hands DOWN.",5,2021-02-21 04:55:47,"{'id': 21231707, 'body': ""Hello! Thank you for sharing your feedback. We're really happy to see BetterMe Meditation has been helpful to you, and we're sure you'll achieve your personal goals. All the best, team BetterMe Meditation"", 'modified': '2021-02-23T08:06:47Z'}",False,betterme-calm-sleep-meditate,1363010081
Disappointed- ads are misleading.,felixthek,"This app is very okay, not worth the price though. I bought it based on the ads i kept seeing (silly me); it seemed like it would be personally interactive like a few of the other apps i’ve liked. I took a chance and was very disappointed that it’s nothing like what was advertised. The meditations themselves are okay- but the robotic voices make it harder to relax when listening. There doesn’t seem to be a whole lot of content, but I’m still exploring (since i’m now stuck paying for the year subscription 😅) and I will try my best to get what i can out of it- but i would recommend looking for a different app or free meditations instead of this. Anything you would find on this app is out there for free, and so much more!!",1,2021-05-04 17:19:36,"{'id': 22645682, 'body': ""Hello! We apologize for any confusion. If you have faced any difficulties or issues with BetterMe itself, we are always glad to help our customers. Do not hesitate to reach us at gethelp@betterme.tips. We've got an idea of what we can do to make your experience more pleasant. Kind regards, team BetterMe"", 'modified': '2021-05-06T05:22:26Z'}",False,betterme-calm-sleep-meditate,1363010081
Nearly Ideal,macie brynn,"It would be preferred to have multiple options on sleeping sounds to adjust with the volume bars and not just three, but i really adore that feature itself. additionally, on the white noise sleeping track, there is an audible loop that causes a gap and throws off my relaxation lol. other than those two things, this app seriously helps me remember to focus my breathing and meditate daily for self improvement. the payment is worth it for all the amazing features",4,2021-01-06 02:54:02,"{'id': 20824382, 'body': 'Hello Macie! Thank you for your review and your suggestion. We are working hard to make our app suitable and accessible for a wider number of users! We hope you will stay tuned for updates. Kind regards, Team BetterMe Meditation', 'modified': '2021-02-03T07:32:53Z'}",False,betterme-calm-sleep-meditate,1363010081
Disappointing,TreeLizard386,"Highly recommend trying ANY OTHER meditation app. I gave 2 stars because the sound mixer is the only thing I liked about this app. The voices in the meditations are awful and super distracting. I usually don’t have a problem with guided meditations, but these sound like the person reading them aloud has never instructed a meditation before. The delivery is rough and sometimes hard to understand. The meditations themselves lack substance and don’t really help. There are way better apps out there. My one regret is that I didn’t cancel my subscription before my free trial ended. Now I’m out $10 for an app I’m just going to delete anyway.",2,2021-01-11 22:20:45,"{'id': 21738008, 'body': 'Hello! Thank you so much for such detailed feedback as well as for sharing your suggestions with us. Please text us gethelp@betterme.tips and we will review your case closer and decide what we can do about the whole situation. Kind regards, Team BetterMe\xa0Meditation ', 'modified': '2021-03-18T16:11:56Z'}",False,betterme-calm-sleep-meditate,1363010081
I have been scanned by this app,New User's Suggestions,"I agreed to pay 6.99 for a 7 day trial.  As it were I had some medical issues and never opened the app. Not only was I charged the 6.99, but I was charged for an additional month of use!  I tried to open it to make sure I wouldn’t be charged again and can’t get past a payment screen.  I tried contacting PayPal and can’t get a refund through them.  They’ve obviously got the legalese covered.  PLEASE CONTACT ME FOR A REFUND!  I downloaded the app because I had a stroke and I’m trying to keep my blood pressure LOW.    Wish I could create a warning system for others who think this is a safe bet. I’ll amend this review if I hear from the developer personally with a refund.",1,2021-04-21 01:28:47,"{'id': 22947280, 'body': 'Hello again! We have not been able to locate your request so far.  We would kindly ask you to reach us at gethelp@betterme.tips. We will be more than happy to help you out! Or provide us the 7-digit number from the auto-reply (if you already emailed us). We will be looking forward to your reply. Kind regards, Team BetterMe', 'modified': '2021-05-22T09:22:26Z'}",False,betterme-calm-sleep-meditate,1363010081
Predatory App - AVOID,kayceeel,"Saw this app on an Instagram ad, and signed up. Enrolled thinking I signed up for a great deal of $9.99 subscription. What they don’t tell you is that it’s the WEEKLY price. Now I’ve had to remove my bank information from this company’s site so they don’t charge me again and have yet to hear from anyone at the organization about canceling my account. I’ve tried to remedy on my own but because of how I set up the account they never gave me a login, just took my bank details so they can profit off of people like me who got duped. Extremely frustrating and sad. THIS APP IS A SCAM. There are better, more honest apps for mental health. My time with this app has honestly done more harm than good.",1,2021-01-12 08:11:11,"{'id': 20737151, 'body': 'Hello! We apologize for the inconvenience. Please reach us at gethelp@betterme.tips and provide us with the 6-digit number of the email you have received in the auto-reply. This way we will locate your messages and get back to you shortly. Kind regards, team BetterMe', 'modified': '2021-01-29T17:02:34Z'}",False,betterme-calm-sleep-meditate,1363010081
Refuse/fail to cancel per request,The Write PI,"I canceled this the same day on January 29, 2020. All I received was an automated response saying will be in touch within 48 hours. No further emails received from company. I’ve since  sent three cancellation request with no response received at all. Today I tried calling the phone number that they have listed with my credit card company, and the phone number is a “out of service“ number.I also found that their so-called headquarters is listed in Cyprus not in the United States. Since they have failed or refused to cancel discharge, I will be filing further complaints with the necessary agencies.",1,2021-02-02 20:54:00,"{'id': 20854321, 'body': ""Hello! We would appreciate it if you could provide us the 6-digit number you received in your automated email. It'll help us locate your email and provide you with a proper solution faster. Kind regards, Team BetterMe\xa0 Meditation"", 'modified': '2021-02-04T09:46:31Z'}",False,betterme-calm-sleep-meditate,1363010081
