isEdited,developerResponse,review,title,rating,userName,date,app_name,app_id
False,"{'id': 21218194, 'body': 'Hello, thank you for your review. We are very sorry that you are facing this issue! This happens because of our introduction videos. We are working to fix it shortly! In the meantime, you can skip the introduction video at the beginning of the session before locking your screen to avoid this problem. Happy meditating !', 'modified': '2021-02-22T16:25:43Z'}","I purchased this app because I loved their meditations in sleep cycle. After sleep cycle removed them, I was excited to access more of the meditations that I’d come to enjoy so much. Unfortunately, this app doesn’t have the same quality meditations as they produced for sleep cycle. Also, for me at least, I can never get the app to work when I lock my screen. It just stops playing. Since I use it for sleep, this is annoying both because of the phone light and because it’ll auto lock anyways. I wanted to love this app, but I think it needs a lot of improvements.","Great, but doesn’t work when the screen is locked",3,marms28,2021-02-20 01:20:20,mindfulness-with-petit-bambou,941222646
False,,"There are lots of good meditation apps available. Each one has particular strengths and weaknesses. Most have an introductory course. Petit BamBou has the best introductory courses, Basics 1-4. It exposes you to a wide range of techniques that will really help you notice things about how your mind works that you never noticed before. The weakness of Petit BamBou is that is often sounds like the guide is reading a script. It’s a good script but at times the vocal pacing sounds like the guide is just reading the words rather than spontaneously saying them. Nonetheless, the content and detail of the guidance is very good.",Basics,4,DrMECtistopher,2021-02-17 19:16:28,mindfulness-with-petit-bambou,941222646
False,"{'id': 23326269, 'body': ""Hi ! Thank you so much for sharing with us your experience with Petit BamBou. We're so proud to be able to accompany you on your meditation journey... Our goal is to make this awesome tool that is meditation, accessible to everyone. It's truly amazing to read that it worked for you. Don't hesitate to get in touch with us if you have any question : help@petitbambou.com :) "", 'modified': '2021-06-11T09:50:18Z'}","I had gotten progressively open to trying out the whole meditation thing. I downloaded a couple of apps and ended up feeling like a dummy, which I was, I just didn’t want to acknowledge it I guess. Petit bambou gave me the space to try toe-dipping then wading in it and eventually sneaking off to go full on swimming with backstrokes et al in it. How did I become this addicted? Lawd !",Skeptic turned fan,5,Yo-Ed,2021-06-08 09:47:36,mindfulness-with-petit-bambou,941222646
False,,I’ve never reviewed an app before but this is making an impact in my life. I’ve tried some similar apps but did not give me the freedom to select different types - made me go through levels. Easy to use and pleasant voice. And the price is reasonable and got a quick response to a question I had.,Stellar way to learn to meditate,5,Jill in mountains,2021-02-01 13:31:50,mindfulness-with-petit-bambou,941222646
False,,"I’ve used a handful of meditation apps in the past. None of them compare to Petite BamBou! After about a week of guided meditation, I’m calmer, more serene, with less judgement for myself and others. Can’t say enough good things about the app. & it’s various programs. Wish I’d found it years ago.",Notice huge change in myself,5,MGZELLER,2021-05-23 14:22:22,mindfulness-with-petit-bambou,941222646
False,,"Wonderful soothing voice presenting each history and guiding you through the session.
Encouraging for the novice and relaxing. A great way to disappear in another universe dimension for 10 minutes, returning reenergized, ready to tackle your daily grind.",Fantastic app !,5,Calorie counter fan,2020-08-28 03:42:40,mindfulness-with-petit-bambou,941222646
False,,"Petite BamBou has been incredibly helpful in my life. Helping me with decisions, giving me direction. I have recommended PB to my family and friends and all have thanked me for doing so.  Please begin the first session. It will not be your last.",Beyond helpful,5,Rmocny,2020-04-11 00:36:12,mindfulness-with-petit-bambou,941222646
False,,Thoroughly enjoying this app! The guided meditations are really well done. Love the narrator’s voice! The kids’ guided meditations are great too! My kids ask to do them before bed each night.,High quality and addictive (in a good way),5,So good this is an awesome app,2020-04-27 11:42:03,mindfulness-with-petit-bambou,941222646
False,"{'id': 15729431, 'body': 'Great to hear that you not only like the meditations, but also the sounds! All the best to you! :-)', 'modified': '2020-06-02T14:27:42Z'}",I listened to the méditations and they were great and relaxing . The voice was soothing and the message was passed  Another feature was the sounds I loved them specifically under the water,Great app to relax,5,cbennus,2020-05-12 02:03:40,mindfulness-with-petit-bambou,941222646
False,"{'id': 13662836, 'body': ""Wow - we're proud to hear that, thank you! Wishing you all the best and happy meditating!"", 'modified': '2020-02-24T09:32:41Z'}","Very good and clear design application that guides you into very interesting meditations. Available in many languages, this meditation app offers the best of the best, in many ways.",Indispensable!!,5,Diamond SkyWest,2020-02-18 14:22:16,mindfulness-with-petit-bambou,941222646
False,,A good selection of content material to meditate. Wonderful sounds and music. Easy to use and the alternative to select your language.,Excelent App,5,Catymart,2020-11-09 15:07:17,mindfulness-with-petit-bambou,941222646
False,,"Thank you for helping me find meditation, I really enjoy starting my days with a session.  It makes me feel relaxed, mindful and steady.  
Thank you",I enjoy meditation,5,textpicsfanatic,2020-04-27 21:38:24,mindfulness-with-petit-bambou,941222646
False,"{'id': 15729394, 'body': ""You're very welcome and we're really happy to hear that! Wishing you all the best!"", 'modified': '2020-06-02T14:26:34Z'}","I highly recommend this app!  I like the analogies and the lessons.  It has helped me already and I’m looking forward to future lessons.  Thanks, BamBou! :)",Great App!,5,Chati 11,2020-05-28 21:54:37,mindfulness-with-petit-bambou,941222646
False,,I like the format. The set up is nice & guided meditation is helpful. I also like the 10-12 minute format!,"Short, easy to follow",5,KatyLisser,2020-06-12 21:56:39,mindfulness-with-petit-bambou,941222646
